genre,1917,1918,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Mystery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,3,2,3,0,2,0,2,3,4,4,11,4,7,6,11,7,7,5,8,10,8,10,13,16,13,19,19,19,17,30,27,28,25,21,29,33,24,32,31,44,40,34,49,37,44,38,41,32,27,1
Mythology,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,3,1,0,2,3,2,0,1,1,0,1,4,1,1,0,0,0,2,5,7,6,11,9,8,12,4,9,10,8,5,4,9,13,12,12,10,8,13,17,7,13,11,15,17,12,21,16,22,18,29,46,27,33,33,23,25,25,8,0
Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,3,5,5,1,0,1,0,1,0,0,1,2,3,2,1,2,2,2,2,1,0,3,1,0,2,5,2,5,1,4,4,6,12,8,3,0
Otaku Culture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,1,2,3,3,1,4,4,3,8,7,6,6,8,5,6,5,1,2,5,4,2,0
Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,2,2,4,4,4,4,3,8,9,6,1,9,9,4,4,4,5,5,7,3,9,6,11,12,14,24,37,28,27,27,36,53,42,54,47,67,68,28,17,14,11,10,15,9,0
Performing Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,1,1,2,1,3,3,2,2,4,3,0,1,0,3,2,2,6,6,9,10,7,8,8,7,8,7,3,3,0
Pets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,4,0,1,3,6,2,0,0,1,3,0,3,4,4,2,1,2,0,2,1,1,4,3,0,3,3,1,6,5,7,5,3,5,5,6,11,9,3,0
Psychological,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,3,2,3,5,3,3,2,4,3,2,7,6,6,9,6,9,9,20,12,11,10,14,9,10,11,18,17,19,18,19,21,22,17,18,24,20,12,11,6,1
Racing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,3,1,1,2,2,3,3,2,4,1,1,0,4,3,3,1,5,2,4,4,4,4,4,9,5,4,5,7,9,4,10,15,15,14,16,16,10,11,12,12,10,2,1
Reincarnation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,0,1,0,0,0,3,0,0,1,0,1,0,5,4,5,6,15,12,25,23,9,3
